"filename", "language", "JSON", "C++", "Makefile", "JavaScript", "TypeScript", "Batch", "Markdown", "comment", "blank", "total"
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 29, 0, 5, 34
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\lib\Makefile", "Makefile", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\lib\include\arc.hpp", "C++", 0, 8, 0, 0, 0, 0, 0, 2, 3, 13
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\lib\include\array.hpp", "C++", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\lib\include\object.hpp", "C++", 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\lib\src\io.cpp", "C++", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\lib\test\build.bat", "Batch", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\lib\test\object_test.cpp", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\package-lock.json", "JSON", 9191, 0, 0, 0, 0, 0, 0, 0, 1, 9192
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\package.json", "JSON", 42, 0, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\src\asm\Makefile", "Makefile", 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\src\asm\assembler.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 10, 5, 26
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\src\ast\ast.ts", "TypeScript", 0, 0, 0, 0, 47, 0, 0, 12, 12, 71
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\src\builder\binExp.ts", "TypeScript", 0, 0, 0, 0, 108, 0, 0, 17, 23, 148
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\src\builder\builder.ts", "TypeScript", 0, 0, 0, 0, 77, 0, 0, 5, 19, 101
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\src\builder\conditional.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 4, 34
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\src\builder\containers.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 1, 4, 17
